City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,caravelas,-17.7125,-39.2481,24.57,90,100,2.28,BR,1673213379
1,punta arenas,-53.15,-70.9167,18.06,48,75,6.17,CL,1673213162
2,mount gambier,-37.8333,140.7667,16.4,83,10,4.22,AU,1673213379
3,upernavik,72.7868,-56.1549,-27.52,93,66,4.42,GL,1673213379
4,vaini,-21.2,-175.2,30.09,74,75,2.57,TO,1673213379
5,mataura,-46.1927,168.8643,20.63,52,0,0.58,NZ,1673213379
6,cidreira,-30.1811,-50.2056,22.83,74,26,6.29,BR,1673213380
7,marfino,55.7028,37.3822,-16.92,84,0,1.0,RU,1673213380
8,pemba,-12.974,40.5178,28.39,83,20,2.06,MZ,1673213380
9,ushuaia,-54.8,-68.3,20.81,40,0,2.06,AR,1673213260
10,kodiak,57.79,-152.4072,-1.27,69,0,6.17,US,1673213380
11,puerto suarez,-18.95,-57.8,32.31,43,20,3.09,BO,1673213380
12,torbay,47.6666,-52.7314,-0.79,88,100,1.03,CA,1673213380
13,saldanha,-33.0117,17.9442,17.03,93,0,5.84,ZA,1673213380
14,manggar,-2.8833,108.2667,25.43,86,99,1.35,ID,1673213380
15,kaitangata,-46.2817,169.8464,17.68,55,0,1.29,NZ,1673213381
16,clyde river,70.4692,-68.5914,-33.87,75,0,1.54,CA,1673213381
17,santo antonio do sudoeste,-26.0736,-53.7253,27.29,46,11,1.95,BR,1673213381
18,marawi,7.9986,124.2928,19.4,97,100,0.69,PH,1673213381
19,tuktoyaktuk,69.4541,-133.0374,-22.0,84,40,4.63,CA,1673213381
20,gushikawa,26.3544,127.8686,17.0,82,20,1.54,JP,1673213381
21,albany,42.6001,-73.9662,0.88,67,2,1.44,US,1673213382
22,cape town,-33.9258,18.4232,21.05,84,20,6.71,ZA,1673213105
23,vardo,70.3705,31.1107,-5.01,63,100,16.46,NO,1673213382
24,hilo,19.7297,-155.09,26.25,68,100,2.68,US,1673213382
25,richards bay,-28.783,32.0377,19.29,85,0,2.68,ZA,1673213382
26,lompoc,34.6391,-120.4579,17.23,84,40,7.72,US,1673213382
27,guerrero negro,27.9769,-114.0611,20.5,39,32,5.42,MX,1673213382
28,vila franca do campo,37.7167,-25.4333,16.23,93,46,3.38,PT,1673213382
29,esperance,-33.8667,121.9,14.45,89,34,3.64,AU,1673213382
30,cap malheureux,-19.9842,57.6142,25.82,73,4,2.24,MU,1673213382
31,beroroha,-21.6667,45.1667,23.48,93,90,1.11,MG,1673213382
32,ahipara,-35.1667,173.1667,20.13,80,92,4.98,NZ,1673213383
33,cranbrook,49.4999,-115.7688,-1.09,86,100,1.03,CA,1673213383
34,castro,-24.7911,-50.0119,19.59,81,45,3.85,BR,1673213383
35,washington,47.5001,-120.5015,3.99,91,100,1.04,US,1673212913
36,tadine,-21.55,167.8833,27.0,81,86,2.73,NC,1673213383
37,busselton,-33.65,115.3333,13.97,89,1,4.82,AU,1673213383
38,macau,22.2006,113.5461,18.89,88,40,4.12,MO,1673213383
39,hermanus,-34.4187,19.2345,20.45,89,10,3.29,ZA,1673213268
40,yellowknife,62.456,-114.3525,-11.71,85,100,2.57,CA,1673213383
41,general pico,-35.6566,-63.7568,39.03,13,6,6.04,AR,1673213384
42,new norfolk,-42.7826,147.0587,17.72,65,61,0.89,AU,1673213384
43,oktyabrskiy,54.4815,53.471,-35.78,100,79,1.15,RU,1673213384
44,barrow,71.2906,-156.7887,-18.99,78,100,5.66,US,1673213384
45,airai,-8.9266,125.4092,14.47,84,30,0.44,TL,1673213384
46,padang,-0.9492,100.3543,23.03,85,96,1.4,ID,1673213384
47,ribeira grande,38.5167,-28.7,17.22,94,75,5.81,PT,1673213384
48,rikitea,-23.1203,-134.9692,25.8,74,0,7.8,PF,1673213384
49,port elizabeth,-33.918,25.5701,20.05,91,0,1.03,ZA,1673213384
50,pochutla,15.7432,-96.4661,30.9,42,0,3.65,MX,1673213384
51,manta,-0.95,-80.7333,26.88,69,75,2.06,EC,1673213385
52,puerto ayora,-0.7393,-90.3518,27.98,86,26,2.68,EC,1673213385
53,rubizhne,49.0123,38.3797,-10.33,67,0,1.06,UA,1673213385
54,plastun,44.7561,136.2939,-9.91,79,100,3.09,RU,1673213385
55,hobart,-42.8794,147.3294,17.92,83,0,4.63,AU,1673213270
56,ovsyanka,55.9575,92.5519,2.54,72,100,5.79,RU,1673213385
57,camalu,30.85,-116.0667,18.35,51,0,5.49,MX,1673213385
58,saint-philippe,-21.3585,55.7679,25.77,78,50,5.07,RE,1673213385
59,tambun,-6.2641,107.0712,27.49,73,98,0.68,ID,1673213385
60,kapaa,22.0752,-159.319,26.18,70,40,4.12,US,1673213385
61,makakilo city,21.3469,-158.0858,25.8,65,0,4.12,US,1673213386
62,carnarvon,-24.8667,113.6333,23.35,73,0,9.4,AU,1673213386
63,hobyo,5.3505,48.5268,25.24,83,85,7.55,SO,1673213386
64,ossora,59.2353,163.0719,-21.74,82,100,2.35,RU,1673213386
65,ancud,-41.8697,-73.8203,17.48,79,42,5.5,CL,1673213386
